Course code,Study period,Academic year,Instance_id,Examiner,Planned number of Students,Senior Hours,Assistant Hours
1212,4.0,2021-2022,I-2609,19600905-0003,60,280,360
1225,2.0,2021-2022,I-2610,19600905-0003,40,280,420
1115,3.0,2021-2022,I-2611,19620831-0024,50,260,280
1243,3.0,2021-2022,I-2612,19561222-0030,20,240,420
1192,1.0,2021-2022,I-2613,19690408-0009,50,280,280
1125,4.0,2021-2022,I-2614,19590129-0004,20,280,420
1068,1.0,2021-2022,I-2615,19570828-0008,60,280,200
1067,4.0,2021-2022,I-2616,19561222-0030,60,280,360
1047,2.0,2021-2022,I-2617,19560705-0025,60,260,280
1041,4.0,2022-2023,I-2618,19690513-0015,40,240,360
1291,4.0,2022-2023,I-2619,19600529-0021,40,280,200
1177,4.0,2022-2023,I-2620,19640220-0029,40,280,280
1242,2.0,2022-2023,I-2621,19580218-0007,60,240,200
1189,1.0,2022-2023,I-2622,19620424-0026,50,240,300
1067,4.0,2022-2023,I-2623,19690408-0009,50,240,420
1065,3.0,2022-2023,I-2624,19630126-0001,40,280,360
1203,4.0,2023-2024,I-2625,19690917-0022,40,280,420
1005,4.0,2023-2024,I-2626,19561222-0030,40,260,280
1281,1.0,2023-2024,I-2627,19620831-0024,40,240,300
1093,1.0,2023-2024,I-2628,19600814-0002,40,280,280
1071,1.0,2023-2024,I-2629,19690917-0022,20,260,300
1027,1.0,2023-2024,I-2630,19610918-0027,50,280,360
1295,3.0,2023-2024,I-2631,19610918-0027,20,260,420
1249,1.0,2023-2024,I-2632,19561222-0030,40,280,200
1209,3.0,2023-2024,I-2633,19570615-0011,20,240,240
1067,1.0,2023-2024,I-2634,19690513-0015,20,240,300
1050,2.0,2023-2024,I-2635,19660630-0020,60,260,420
1046,4.0,2013-2014,I-2636,19601021-0018,40,240,360
1232,3.0,2013-2014,I-2637,19560612-0010,20,280,420
1107,2.0,2013-2014,I-2638,19690513-0015,20,240,240
1280,4.0,2013-2014,I-2639,19560705-0025,40,260,200
1236,2.0,2013-2014,I-2640,19570826-0012,40,280,240
1234,4.0,2013-2014,I-2641,19611219-0014,40,280,200
1219,1.0,2013-2014,I-2642,19640414-0013,50,260,360
1206,2.0,2013-2014,I-2643,19630126-0001,60,280,360
1092,1.0,2013-2014,I-2644,19690513-0015,50,260,240
1294,3.0,2014-2015,I-2645,19620831-0024,40,280,280
1202,4.0,2014-2015,I-2646,19650303-0019,60,260,420
1201,4.0,2014-2015,I-2647,19611219-0014,20,240,420
1099,3.0,2014-2015,I-2648,19610620-0006,20,240,240
1005,2.0,2014-2015,I-2649,19660630-0020,20,260,240
1266,1.0,2014-2015,I-2650,19560812-0016,50,260,360
1228,1.0,2014-2015,I-2651,19560612-0010,40,280,300
1205,1.0,2014-2015,I-2652,19611219-0014,60,260,200
1195,1.0,2014-2015,I-2653,19650303-0019,50,240,420
1164,2.0,2014-2015,I-2654,19580218-0007,50,280,240
1121,2.0,2014-2015,I-2655,19680712-0028,40,260,240
1277,2.0,2015-2016,I-2656,19610918-0027,60,280,200
1276,4.0,2015-2016,I-2657,19620522-0023,50,260,360
1156,3.0,2015-2016,I-2658,19610918-0027,50,280,360
1135,1.0,2015-2016,I-2659,19620522-0023,20,260,420
1057,2.0,2015-2016,I-2660,19561222-0030,40,280,360
1202,4.0,2015-2016,I-2661,19650303-0019,60,280,360
1109,1.0,2015-2016,I-2662,19640414-0013,60,260,360
1061,4.0,2015-2016,I-2663,19580515-0017,60,260,280
1023,2.0,2015-2016,I-2664,19620831-0024,40,240,420
1016,3.0,2015-2016,I-2665,19560612-0010,60,280,300
1045,2.0,2016-2017,I-2666,19680712-0028,40,280,200
1175,4.0,2016-2017,I-2667,19610620-0006,60,280,200
1035,3.0,2016-2017,I-2668,19660630-0020,60,240,280
1290,1.0,2016-2017,I-2669,19610918-0027,40,280,420
1264,3.0,2016-2017,I-2670,19620424-0026,20,240,420
1225,1.0,2016-2017,I-2671,19620831-0024,20,240,420
1209,3.0,2016-2017,I-2672,19570826-0012,20,240,280
1184,2.0,2016-2017,I-2673,19690513-0015,50,280,360
1172,1.0,2016-2017,I-2674,19620424-0026,40,280,280
1098,1.0,2017-2018,I-2675,19620831-0024,20,260,240
1011,2.0,2017-2018,I-2676,19561222-0030,50,280,280
1277,4.0,2017-2018,I-2677,19630126-0001,60,260,240
1260,3.0,2017-2018,I-2678,19600905-0003,20,260,360
1147,1.0,2017-2018,I-2679,19690917-0022,50,240,420
1029,3.0,2017-2018,I-2680,19650303-0019,60,260,280
1298,3.0,2017-2018,I-2681,19690408-0009,40,260,200
1249,3.0,2017-2018,I-2682,19560705-0025,20,240,200
1233,3.0,2017-2018,I-2683,19600905-0003,60,280,300
1134,1.0,2017-2018,I-2684,19610918-0027,40,260,240
1105,1.0,2017-2018,I-2685,19600905-0003,50,280,240
1006,1.0,2017-2018,I-2686,19690917-0022,50,260,360
1281,1.0,2018-2019,I-2687,19610623-0005,60,260,240
1257,3.0,2018-2019,I-2688,19620424-0026,40,260,360
1220,1.0,2018-2019,I-2689,19600814-0002,20,260,200
1107,2.0,2018-2019,I-2690,19690513-0015,50,240,360
1060,2.0,2018-2019,I-2691,19560812-0016,50,260,420
1022,4.0,2018-2019,I-2692,19630126-0001,60,280,420
1296,3.0,2018-2019,I-2693,19620522-0023,50,260,200
1269,2.0,2018-2019,I-2694,19560812-0016,20,280,420
1252,1.0,2018-2019,I-2695,19560812-0016,20,260,420
1080,2.0,2018-2019,I-2696,19560705-0025,20,260,200
1044,1.0,2018-2019,I-2697,19620522-0023,60,260,420
1015,1.0,2018-2019,I-2698,19620424-0026,40,260,360
1180,3.0,2019-2020,I-2699,19580515-0017,20,240,200
1105,2.0,2019-2020,I-2700,19640220-0029,60,240,200
1194,3.0,2019-2020,I-2701,19610623-0005,50,280,360
1176,4.0,2019-2020,I-2702,19620424-0026,60,260,360
1107,1.0,2019-2020,I-2703,19560705-0025,50,240,200
1094,3.0,2019-2020,I-2704,19560812-0016,40,280,420
1274,1.0,2019-2020,I-2705,19590129-0004,50,240,280
1263,2.0,2019-2020,I-2706,19560705-0025,20,240,200
1230,2.0,2019-2020,I-2707,19600905-0003,60,240,420
1122,2.0,2019-2020,I-2708,19560812-0016,40,280,200
1090,1.0,2019-2020,I-2709,19570828-0008,50,280,200
1025,1.0,2019-2020,I-2710,19600814-0002,50,240,360
1297,4.0,2020-2021,I-2711,19640414-0013,20,260,300
1085,1.0,2020-2021,I-2712,19630126-0001,40,280,360
1055,2.0,2020-2021,I-2713,19620424-0026,20,260,280
1189,1.0,2020-2021,I-2714,19580515-0017,20,240,280
1124,3.0,2020-2021,I-2715,19580515-0017,40,280,240
1115,4.0,2020-2021,I-2716,19680712-0028,50,240,280
1104,1.0,2020-2021,I-2717,19570826-0012,40,260,360
1185,3.0,2021-2022,I-2718,19600814-0002,60,240,420
1134,3.0,2021-2022,I-2719,19560812-0016,40,280,240
1235,2.0,2021-2022,I-2720,19570615-0011,40,280,200
1226,3.0,2021-2022,I-2721,19560812-0016,40,240,280
1123,1.0,2021-2022,I-2722,19580218-0007,60,260,200
1065,3.0,2021-2022,I-2723,19680712-0028,40,280,420
1281,1.0,2021-2022,I-2724,19601021-0018,20,280,240
1118,4.0,2021-2022,I-2725,19580515-0017,50,260,360
1079,3.0,2021-2022,I-2726,19580515-0017,40,280,420
1025,3.0,2021-2022,I-2727,19570826-0012,40,280,240
1181,3.0,2022-2023,I-2728,19620424-0026,60,260,240
1270,4.0,2022-2023,I-2729,19561222-0030,60,260,200
1145,2.0,2022-2023,I-2730,19580218-0007,40,240,360
1073,2.0,2022-2023,I-2731,19601021-0018,50,240,240
1004,2.0,2022-2023,I-2732,19570828-0008,60,260,200
1183,2.0,2022-2023,I-2733,19640414-0013,60,280,300
1173,1.0,2022-2023,I-2734,19611219-0014,50,240,360
1171,3.0,2022-2023,I-2735,19650303-0019,20,240,300
1164,3.0,2022-2023,I-2736,19560705-0025,20,280,420
1012,2.0,2022-2023,I-2737,19660630-0020,50,260,280
1160,1.0,2023-2024,I-2738,19640414-0013,60,260,200
1062,1.0,2023-2024,I-2739,19690408-0009,40,260,200
1210,4.0,2023-2024,I-2740,19611219-0014,40,260,360
1091,1.0,2023-2024,I-2741,19660630-0020,50,280,420
1205,2.0,2023-2024,I-2742,19570826-0012,20,260,240
1191,1.0,2023-2024,I-2743,19600529-0021,20,260,420
1181,4.0,2023-2024,I-2744,19560612-0010,50,260,300
1130,4.0,2023-2024,I-2745,19610620-0006,60,280,280
1078,2.0,2013-2014,I-2746,19690917-0022,50,280,280
1049,2.0,2013-2014,I-2747,19570826-0012,20,260,420
1156,1.0,2013-2014,I-2748,19690917-0022,40,240,300
1131,4.0,2013-2014,I-2749,19610620-0006,50,240,300
1295,2.0,2013-2014,I-2750,19650303-0019,60,260,200
1257,2.0,2013-2014,I-2751,19561222-0030,60,260,200
1239,2.0,2013-2014,I-2752,19611219-0014,50,240,200
1217,2.0,2013-2014,I-2753,19650303-0019,60,260,300
1088,4.0,2013-2014,I-2754,19570826-0012,60,240,300
1097,4.0,2014-2015,I-2755,19580218-0007,60,240,240
1284,1.0,2014-2015,I-2756,19561222-0030,60,280,360
1225,1.0,2014-2015,I-2757,19570826-0012,50,280,300
1048,2.0,2014-2015,I-2758,19580218-0007,50,280,300
1262,1.0,2014-2015,I-2759,19570826-0012,40,260,240
1218,2.0,2014-2015,I-2760,19600814-0002,20,260,300
1035,4.0,2014-2015,I-2761,19601021-0018,60,240,240
1027,3.0,2014-2015,I-2762,19690513-0015,60,280,240
1073,1.0,2015-2016,I-2763,19640220-0029,20,240,280
1169,3.0,2015-2016,I-2764,19620424-0026,60,260,240
1127,3.0,2015-2016,I-2765,19640414-0013,20,240,200
1105,3.0,2015-2016,I-2766,19620424-0026,40,280,240
1050,2.0,2015-2016,I-2767,19660630-0020,50,280,200
1294,4.0,2015-2016,I-2768,19650303-0019,50,240,300
1172,4.0,2015-2016,I-2769,19630126-0001,50,240,420
1164,3.0,2015-2016,I-2770,19600814-0002,60,240,280
1118,2.0,2015-2016,I-2771,19690408-0009,40,260,200
1042,1.0,2015-2016,I-2772,19680712-0028,20,280,280
1015,3.0,2015-2016,I-2773,19600529-0021,60,240,420
1256,1.0,2016-2017,I-2774,19600529-0021,50,280,240
1006,1.0,2016-2017,I-2775,19690408-0009,50,240,240
1143,2.0,2016-2017,I-2776,19660630-0020,50,240,200
1059,2.0,2016-2017,I-2777,19560705-0025,40,260,360
1058,3.0,2016-2017,I-2778,19660630-0020,60,280,280
1047,4.0,2016-2017,I-2779,19610918-0027,20,240,200
1269,3.0,2016-2017,I-2780,19660630-0020,60,260,200
1134,2.0,2016-2017,I-2781,19620831-0024,40,240,240
1068,4.0,2016-2017,I-2782,19620424-0026,60,240,200
1043,4.0,2016-2017,I-2783,19570826-0012,60,260,300
1021,1.0,2016-2017,I-2784,19590129-0004,20,260,300
1237,3.0,2017-2018,I-2785,19600814-0002,40,240,300
1229,1.0,2017-2018,I-2786,19620522-0023,40,240,240
1176,2.0,2017-2018,I-2787,19660630-0020,20,280,240
1014,2.0,2017-2018,I-2788,19580515-0017,20,240,420
1224,2.0,2017-2018,I-2789,19650303-0019,50,240,420
1093,1.0,2017-2018,I-2790,19650303-0019,40,240,200
1086,4.0,2017-2018,I-2791,19660630-0020,50,240,300
1083,2.0,2017-2018,I-2792,19601021-0018,40,240,280
1012,3.0,2017-2018,I-2793,19601021-0018,20,280,280
1249,4.0,2018-2019,I-2794,19610623-0005,60,260,240
1073,1.0,2018-2019,I-2795,19620522-0023,40,260,300
1294,1.0,2018-2019,I-2796,19660630-0020,20,240,360
1287,4.0,2018-2019,I-2797,19620831-0024,60,240,300
1172,2.0,2018-2019,I-2798,19600905-0003,50,260,240
1006,2.0,2018-2019,I-2799,19610918-0027,20,280,280
1223,3.0,2018-2019,I-2800,19610623-0005,60,240,420
1183,2.0,2018-2019,I-2801,19690917-0022,20,240,300
1074,4.0,2018-2019,I-2802,19610918-0027,50,240,420
1038,3.0,2018-2019,I-2803,19680712-0028,60,260,360
1239,3.0,2019-2020,I-2804,19610620-0006,40,280,420
1174,1.0,2019-2020,I-2805,19680712-0028,40,260,240
1148,4.0,2019-2020,I-2806,19610620-0006,20,240,300
1030,2.0,2019-2020,I-2807,19561222-0030,50,240,240
1225,3.0,2019-2020,I-2808,19640414-0013,20,260,360
1172,1.0,2019-2020,I-2809,19690917-0022,50,280,360
1111,2.0,2019-2020,I-2810,19660630-0020,60,280,420
1090,2.0,2019-2020,I-2811,19560612-0010,60,240,420
1299,4.0,2020-2021,I-2812,19600905-0003,50,280,280
1221,3.0,2020-2021,I-2813,19560612-0010,50,260,200
1196,1.0,2020-2021,I-2814,19630126-0001,20,240,280
1031,3.0,2020-2021,I-2815,19620831-0024,60,260,420
1293,2.0,2020-2021,I-2816,19560705-0025,40,280,240
1290,3.0,2020-2021,I-2817,19690917-0022,50,260,200
1262,1.0,2020-2021,I-2818,19690917-0022,20,260,200
1188,3.0,2020-2021,I-2819,19580515-0017,50,260,300
1170,1.0,2020-2021,I-2820,19610620-0006,20,280,200
1024,1.0,2020-2021,I-2821,19620522-0023,50,280,200
1086,3.0,2021-2022,I-2822,19600814-0002,40,240,240
1225,3.0,2021-2022,I-2823,19660630-0020,60,280,240
1032,1.0,2021-2022,I-2824,19560705-0025,40,240,360
1204,3.0,2021-2022,I-2825,19600814-0002,20,280,280
1134,1.0,2021-2022,I-2826,19610918-0027,50,260,300
1087,3.0,2021-2022,I-2827,19560812-0016,60,260,420
1082,2.0,2021-2022,I-2828,19580218-0007,50,260,300
1072,3.0,2021-2022,I-2829,19570828-0008,40,240,360
1225,2.0,2022-2023,I-2830,19611219-0014,40,240,240
1032,2.0,2022-2023,I-2831,19680712-0028,60,260,300
1296,2.0,2022-2023,I-2832,19680712-0028,60,240,200
1290,1.0,2022-2023,I-2833,19650303-0019,60,260,240
1287,1.0,2022-2023,I-2834,19690917-0022,40,240,360
1281,4.0,2022-2023,I-2835,19680712-0028,20,280,200
1254,3.0,2022-2023,I-2836,19600905-0003,50,260,280
1172,1.0,2022-2023,I-2837,19690408-0009,50,280,300
1136,4.0,2022-2023,I-2838,19610918-0027,50,260,360
1022,2.0,2022-2023,I-2839,19660630-0020,20,260,280
1223,3.0,2023-2024,I-2840,19660630-0020,60,240,240
1075,2.0,2023-2024,I-2841,19600905-0003,20,280,300
1292,1.0,2023-2024,I-2842,19600814-0002,20,280,420
1229,2.0,2023-2024,I-2843,19600905-0003,60,260,360
1282,1.0,2023-2024,I-2844,19580218-0007,20,260,420
1267,2.0,2023-2024,I-2845,19580218-0007,60,240,420
1249,4.0,2023-2024,I-2846,19570826-0012,40,240,280
1214,2.0,2023-2024,I-2847,19610623-0005,20,240,300
1143,1.0,2023-2024,I-2848,19690917-0022,20,260,240
1011,4.0,2023-2024,I-2849,19620424-0026,20,260,240
1254,2.0,2013-2014,I-2850,19640220-0029,50,240,420
1166,3.0,2013-2014,I-2851,19620522-0023,20,280,360
1207,1.0,2013-2014,I-2852,19660630-0020,60,240,360
1180,3.0,2013-2014,I-2853,19580218-0007,50,280,300
1130,2.0,2013-2014,I-2854,19611219-0014,40,280,280
1051,3.0,2013-2014,I-2855,19610620-0006,20,240,360
1239,2.0,2013-2014,I-2856,19690513-0015,20,280,200
1221,2.0,2013-2014,I-2857,19590129-0004,50,240,280
1173,1.0,2013-2014,I-2858,19620424-0026,60,280,200
1136,1.0,2013-2014,I-2859,19610623-0005,20,240,420
1080,3.0,2013-2014,I-2860,19570615-0011,20,280,300
1036,3.0,2013-2014,I-2861,19570826-0012,40,280,360
1255,1.0,2014-2015,I-2862,19600529-0021,50,280,280
1192,2.0,2014-2015,I-2863,19620522-0023,60,280,280
1218,2.0,2014-2015,I-2864,19620522-0023,50,240,200
1203,1.0,2014-2015,I-2865,19660630-0020,20,260,420
1064,1.0,2014-2015,I-2866,19690408-0009,20,240,420
1041,2.0,2014-2015,I-2867,19610918-0027,50,260,420
1256,4.0,2014-2015,I-2868,19580515-0017,40,280,280
1126,1.0,2014-2015,I-2869,19620831-0024,60,280,240
1125,1.0,2014-2015,I-2870,19611219-0014,60,260,280
1103,4.0,2014-2015,I-2871,19561222-0030,60,280,200
1039,1.0,2014-2015,I-2872,19580218-0007,50,280,360
1124,4.0,2015-2016,I-2873,19610623-0005,20,240,280
1117,3.0,2015-2016,I-2874,19561222-0030,60,260,280
1105,1.0,2015-2016,I-2875,19610620-0006,40,260,280
1066,3.0,2015-2016,I-2876,19610620-0006,60,260,280
1051,2.0,2015-2016,I-2877,19620831-0024,60,280,240
1247,4.0,2015-2016,I-2878,19600529-0021,40,260,420
1222,1.0,2015-2016,I-2879,19610620-0006,50,240,200
1161,2.0,2015-2016,I-2880,19580515-0017,60,240,420
1047,3.0,2015-2016,I-2881,19560705-0025,50,260,360
1041,3.0,2015-2016,I-2882,19611219-0014,60,260,240
1107,4.0,2016-2017,I-2883,19650303-0019,50,260,420
1225,1.0,2016-2017,I-2884,19570615-0011,40,240,280
1008,3.0,2016-2017,I-2885,19690408-0009,40,240,200
1245,2.0,2016-2017,I-2886,19660630-0020,40,280,240
1136,2.0,2016-2017,I-2887,19600905-0003,60,240,360
1112,1.0,2016-2017,I-2888,19650303-0019,40,280,280
1052,1.0,2016-2017,I-2889,19640220-0029,40,240,200
1048,4.0,2016-2017,I-2890,19601021-0018,50,280,280
1033,3.0,2016-2017,I-2891,19610918-0027,40,280,420
1120,1.0,2017-2018,I-2892,19690408-0009,50,240,240
1008,4.0,2017-2018,I-2893,19610620-0006,60,260,240
1273,4.0,2017-2018,I-2894,19590129-0004,50,280,280
1196,4.0,2017-2018,I-2895,19601021-0018,20,260,300
1075,1.0,2017-2018,I-2896,19580218-0007,50,280,240
1073,1.0,2017-2018,I-2897,19660630-0020,50,240,240
1291,4.0,2017-2018,I-2898,19570828-0008,50,240,280
1265,3.0,2017-2018,I-2899,19620424-0026,40,240,300
1252,2.0,2017-2018,I-2900,19660630-0020,60,260,240
1218,1.0,2017-2018,I-2901,19680712-0028,60,240,240
1154,1.0,2017-2018,I-2902,19660630-0020,50,240,240
1005,2.0,2018-2019,I-2903,19690513-0015,50,240,240
1190,2.0,2018-2019,I-2904,19660630-0020,40,280,200
1111,3.0,2018-2019,I-2905,19590129-0004,60,280,240
1022,1.0,2018-2019,I-2906,19650303-0019,50,280,200
1201,3.0,2018-2019,I-2907,19690408-0009,20,260,360
1164,1.0,2018-2019,I-2908,19620522-0023,60,240,360
1140,3.0,2018-2019,I-2909,19560812-0016,40,280,360
1129,1.0,2018-2019,I-2910,19600814-0002,60,240,360
1121,2.0,2018-2019,I-2911,19600814-0002,20,260,420
1185,4.0,2019-2020,I-2912,19580515-0017,50,260,200
1290,3.0,2019-2020,I-2913,19590129-0004,60,260,300
1197,1.0,2019-2020,I-2914,19680712-0028,50,260,280
1067,4.0,2019-2020,I-2915,19650303-0019,40,260,420
1005,3.0,2019-2020,I-2916,19680712-0028,20,240,420
1279,2.0,2019-2020,I-2917,19580515-0017,20,240,300
1276,2.0,2019-2020,I-2918,19580515-0017,60,280,300
1191,4.0,2019-2020,I-2919,19690513-0015,20,240,280
1136,2.0,2019-2020,I-2920,19570828-0008,60,260,200
1135,4.0,2019-2020,I-2921,19630126-0001,20,240,200
1055,2.0,2019-2020,I-2922,19600529-0021,60,240,360
1283,1.0,2020-2021,I-2923,19560705-0025,20,240,300
1290,4.0,2020-2021,I-2924,19690408-0009,40,280,200
1249,4.0,2020-2021,I-2925,19660630-0020,20,240,240
1297,4.0,2020-2021,I-2926,19580515-0017,40,280,280
1145,2.0,2020-2021,I-2927,19680712-0028,60,280,360
1092,3.0,2020-2021,I-2928,19610620-0006,20,260,420
1014,2.0,2020-2021,I-2929,19660630-0020,50,280,300
1082,2.0,2021-2022,I-2930,19630126-0001,40,280,200
1112,1.0,2021-2022,I-2931,19610918-0027,60,260,300
1079,4.0,2021-2022,I-2932,19560705-0025,50,260,360
1230,1.0,2021-2022,I-2933,19620424-0026,20,240,200
1218,4.0,2021-2022,I-2934,19680712-0028,20,260,200
1166,3.0,2021-2022,I-2935,19600529-0021,50,260,420
1104,2.0,2021-2022,I-2936,19680712-0028,20,240,280
1013,3.0,2021-2022,I-2937,19570826-0012,20,240,420
1244,1.0,2022-2023,I-2938,19640414-0013,50,280,300
1245,2.0,2022-2023,I-2939,19600905-0003,40,260,200
1214,1.0,2022-2023,I-2940,19570828-0008,60,260,300
1265,1.0,2022-2023,I-2941,19561222-0030,60,240,200
1183,3.0,2022-2023,I-2942,19580218-0007,20,240,200
1126,4.0,2022-2023,I-2943,19600529-0021,50,280,300
1066,1.0,2022-2023,I-2944,19561222-0030,40,280,200
1051,4.0,2022-2023,I-2945,19610623-0005,50,260,200
1018,2.0,2022-2023,I-2946,19600814-0002,20,240,300
1169,4.0,2023-2024,I-2947,19620424-0026,50,280,200
1159,3.0,2023-2024,I-2948,19650303-0019,50,260,200
1184,2.0,2023-2024,I-2949,19640220-0029,60,280,280
1133,4.0,2023-2024,I-2950,19601021-0018,60,280,280
1241,2.0,2023-2024,I-2951,19570615-0011,60,260,360
1215,4.0,2023-2024,I-2952,19690917-0022,20,260,360
1197,4.0,2023-2024,I-2953,19611219-0014,40,260,300
1011,2.0,2023-2024,I-2954,19580515-0017,40,260,420
1240,2.0,2013-2014,I-2955,19680712-0028,40,280,200
1176,1.0,2013-2014,I-2956,19610623-0005,60,280,420
1298,3.0,2013-2014,I-2957,19650303-0019,50,280,420
1247,2.0,2013-2014,I-2958,19611219-0014,20,260,200
1228,4.0,2013-2014,I-2959,19690917-0022,40,280,280
1026,4.0,2013-2014,I-2960,19560612-0010,40,240,300
1218,3.0,2013-2014,I-2961,19630126-0001,50,260,300
1128,2.0,2013-2014,I-2962,19561222-0030,60,260,360
1087,4.0,2013-2014,I-2963,19690408-0009,40,240,200
1074,2.0,2013-2014,I-2964,19561222-0030,40,260,420
1064,4.0,2013-2014,I-2965,19580218-0007,20,260,200
1029,4.0,2013-2014,I-2966,19600905-0003,60,240,300
1228,2.0,2014-2015,I-2967,19640220-0029,20,280,420
1286,3.0,2014-2015,I-2968,19561222-0030,60,280,200
1168,4.0,2014-2015,I-2969,19690408-0009,50,240,280
1156,4.0,2014-2015,I-2970,19601021-0018,20,280,360
1078,3.0,2014-2015,I-2971,19610918-0027,20,260,360
1257,2.0,2014-2015,I-2972,19570828-0008,20,280,360
1010,1.0,2014-2015,I-2973,19570826-0012,40,240,240
1009,2.0,2014-2015,I-2974,19610620-0006,50,280,200
1007,3.0,2014-2015,I-2975,19570828-0008,40,240,300
1279,4.0,2015-2016,I-2976,19620522-0023,40,280,240
1224,2.0,2015-2016,I-2977,19690513-0015,20,260,300
1116,2.0,2015-2016,I-2978,19560812-0016,40,280,240
1086,1.0,2015-2016,I-2979,19611219-0014,40,280,280
1023,4.0,2015-2016,I-2980,19601021-0018,40,240,280
1234,4.0,2015-2016,I-2981,19620831-0024,20,240,360
1151,2.0,2015-2016,I-2982,19600529-0021,60,260,280
1128,4.0,2015-2016,I-2983,19611219-0014,50,260,240
1030,4.0,2015-2016,I-2984,19620831-0024,50,240,360
1009,1.0,2015-2016,I-2985,19610918-0027,40,240,280
1248,3.0,2016-2017,I-2986,19620522-0023,20,240,420
1208,3.0,2016-2017,I-2987,19690513-0015,50,280,300
1159,1.0,2016-2017,I-2988,19590129-0004,20,260,360
1080,2.0,2016-2017,I-2989,19561222-0030,20,240,280
1179,3.0,2016-2017,I-2990,19560612-0010,50,240,300
1148,4.0,2016-2017,I-2991,19580515-0017,60,240,420
1132,4.0,2016-2017,I-2992,19620424-0026,50,240,200
1085,3.0,2016-2017,I-2993,19610623-0005,50,260,300
1053,1.0,2016-2017,I-2994,19690917-0022,50,260,300
1036,3.0,2016-2017,I-2995,19600814-0002,50,260,280
1260,3.0,2017-2018,I-2996,19570826-0012,40,260,300
1060,2.0,2017-2018,I-2997,19560705-0025,20,280,280
1218,3.0,2017-2018,I-2998,19620831-0024,40,280,420
1165,1.0,2017-2018,I-2999,19561222-0030,50,260,420
1011,2.0,2017-2018,I-3000,19620522-0023,60,280,200
1216,2.0,2017-2018,I-3001,19600814-0002,50,280,200
1120,3.0,2017-2018,I-3002,19610620-0006,40,240,300
1049,4.0,2017-2018,I-3003,19620831-0024,50,240,300
1036,4.0,2017-2018,I-3004,19690513-0015,40,240,300
1286,1.0,2018-2019,I-3005,19570826-0012,60,280,280
1274,2.0,2018-2019,I-3006,19610918-0027,50,280,360
1222,1.0,2018-2019,I-3007,19610918-0027,40,260,300
1206,3.0,2018-2019,I-3008,19620424-0026,20,260,360
1058,4.0,2018-2019,I-3009,19611219-0014,60,260,240
1248,3.0,2018-2019,I-3010,19660630-0020,20,260,420
1219,4.0,2018-2019,I-3011,19690917-0022,60,240,420
1098,1.0,2018-2019,I-3012,19660630-0020,50,260,360
1049,4.0,2018-2019,I-3013,19561222-0030,50,260,240
1285,3.0,2019-2020,I-3014,19570615-0011,20,260,300
1252,2.0,2019-2020,I-3015,19610620-0006,40,260,360
1104,2.0,2019-2020,I-3016,19610623-0005,60,240,300
1282,2.0,2019-2020,I-3017,19610623-0005,20,260,200
1235,3.0,2019-2020,I-3018,19611219-0014,60,240,420
1215,3.0,2019-2020,I-3019,19560705-0025,50,280,300
1107,4.0,2019-2020,I-3020,19680712-0028,20,260,280
1084,3.0,2019-2020,I-3021,19630126-0001,50,240,280
1045,2.0,2019-2020,I-3022,19560612-0010,40,260,420
1297,4.0,2020-2021,I-3023,19610918-0027,60,280,360
1171,1.0,2020-2021,I-3024,19610918-0027,50,280,360
1100,1.0,2020-2021,I-3025,19690513-0015,20,280,360
1005,4.0,2020-2021,I-3026,19611219-0014,50,260,280
1272,1.0,2020-2021,I-3027,19690917-0022,20,280,240
1263,4.0,2020-2021,I-3028,19630126-0001,50,280,300
1207,2.0,2020-2021,I-3029,19570826-0012,20,240,240
1175,3.0,2020-2021,I-3030,19610623-0005,50,260,240
1156,1.0,2020-2021,I-3031,19650303-0019,40,260,360
1204,2.0,2021-2022,I-3032,19610623-0005,60,280,360
1109,4.0,2021-2022,I-3033,19630126-0001,20,280,360
1223,4.0,2021-2022,I-3034,19610623-0005,50,260,300
1179,3.0,2021-2022,I-3035,19660630-0020,40,280,280
1152,2.0,2021-2022,I-3036,19600529-0021,20,240,420
1157,4.0,2021-2022,I-3037,19570615-0011,60,280,200
1140,1.0,2021-2022,I-3038,19610620-0006,60,240,240
1064,4.0,2021-2022,I-3039,19580218-0007,20,280,280
1056,1.0,2021-2022,I-3040,19660630-0020,20,240,240
1014,1.0,2021-2022,I-3041,19570828-0008,60,240,200
1090,1.0,2022-2023,I-3042,19600814-0002,20,240,240
1213,4.0,2022-2023,I-3043,19590129-0004,50,260,360
1155,2.0,2022-2023,I-3044,19620424-0026,50,260,300
1112,2.0,2022-2023,I-3045,19570828-0008,60,240,240
1037,4.0,2022-2023,I-3046,19560612-0010,60,280,240
1227,4.0,2022-2023,I-3047,19600529-0021,20,240,280
1118,2.0,2022-2023,I-3048,19601021-0018,50,280,280
1038,3.0,2022-2023,I-3049,19690408-0009,20,260,200
1033,4.0,2022-2023,I-3050,19570615-0011,50,280,420
1122,2.0,2023-2024,I-3051,19560812-0016,40,240,420
1273,4.0,2023-2024,I-3052,19600905-0003,40,260,240
1126,4.0,2023-2024,I-3053,19600905-0003,50,240,360
1115,4.0,2023-2024,I-3054,19560612-0010,20,260,200
1134,4.0,2023-2024,I-3055,19580218-0007,40,260,420
1082,4.0,2023-2024,I-3056,19630126-0001,50,240,360
1068,4.0,2023-2024,I-3057,19580515-0017,50,280,280
1052,1.0,2023-2024,I-3058,19600905-0003,40,240,300
